Cidade,Area_Captacao_m2,Volume_Reservatorio_L,Eficiencia_Global_Percentual
300,50,40000,54.7507933544895
300,50,50000,54.7507933544895
300,100,500,38.4543587829009
300,100,1000,49.3559828262087
300,100,2000,60.7242859809595
300,100,3000,68.0231472839276
300,100,4000,73.1006160164271
300,100,5000,76.292701138697
300,100,6000,78.7007653537428
300,100,7000,80.7541534440918
300,100,8000,82.1915251073362
300,100,9000,83.6848982639537
300,100,10000,84.9729326115363
300,100,20000,90.8717565801755
300,100,30000,92.8878103416091
300,100,40000,94.4185178271421
300,100,50000,95.5012133656898
300,150,500,39.8730632816875
300,150,1000,52.6600709352249
300,150,2000,66.0070935224939
300,150,3000,74.6499906664178
300,150,4000,81.3141683778234
300,150,5000,85.1036027627403
300,150,6000,87.717005786821
300,150,7000,89.7703938771701
300,150,8000,91.5437745006534
300,150,9000,93.0371476572709
300,150,10000,94.1385103602763
300,150,20000,98.93597162591
300,150,30000,100.0
300,150,40000,100.0
300,150,50000,100.0
300,200,500,40.7317528467426
300,200,1000,54.4894530520814
300,200,2000,68.8445025200672
300,200,3000,78.3274220645884
300,200,4000,85.3462759006907
300,200,5000,89.1357102856076
300,200,6000,91.8237819675191
300,200,7000,93.9705058801568
300,200,8000,95.3705432144857
300,200,9000,96.4345715885757
300,200,10000,97.274593989173
300,200,20000,100.0
300,200,30000,100.0
300,200,40000,100.0
300,200,50000,100.0
300,300,500,41.5531080828822
300,300,1000,56.3561694978533
300,300,2000,71.7379130110136
300,300,3000,81.5755086802315
300,300,4000,89.0237072988613
300,300,5000,92.8504760126937
300,300,6000,95.2585402277394
300,300,7000,96.9945865223073
300,300,8000,98.0586148963972
300,300,9000,98.7119656524174
300,300,10000,99.1413104349449
300,300,20000,100.0
300,300,30000,100.0
300,300,40000,100.0
300,300,50000,100.0
300,400,500,42.1317901810715
300,400,1000,57.4201978719433
300,400,2000,72.9139443718499
300,400,3000,83.068881836849
300,400,4000,90.6664177711406
300,400,5000,94.3065148403957
300,400,6000,96.3412357662871
300,400,7000,98.0212805674818
300,400,8000,98.7679671457906
300,400,9000,99.2533134216912
300,400,10000,99.5706552174725
300,400,20000,100.0
300,400,30000,100.0
300,400,40000,100.0
300,400,50000,100.0
300,500,500,42.430464812395
300,500,1000,58.0548814635057
300,500,2000,73.7539667724473
300,500,3000,83.7969012507
300,500,4000,91.3944371849916
300,500,5000,94.8291954452119
300,500,6000,96.8452492066455
300,500,7000,98.4132910210939
