"nº";"Cidade""Demanda";"Area";"Volume";"EficienciaGlobal"
"211";"Aceguá";"200";"500";"500";"51.6520440545081"
"212";"Aceguá";"200";"500";"1000";"65.2417397797275"
"213";"Aceguá";"200";"500";"2000";"84.8235952958746"
"214";"Aceguá";"200";"500";"3000";"93.5411610976293"
"215";"Aceguá";"200";"500";"4000";"97.4985999626657"
"216";"Aceguá";"200";"500";"5000";"99.2159790927758"
"217";"Aceguá";"200";"500";"6000";"99.8133283554228"
"218";"Aceguá";"200";"500";"7000";"99.9813328355423"
"219";"Aceguá";"200";"500";"8000";"100"
"220";"Aceguá";"200";"500";"9000";"100"
"221";"Aceguá";"200";"500";"10000";"100"
"222";"Aceguá";"200";"500";"20000";"100"
"223";"Aceguá";"200";"500";"30000";"100"
"224";"Aceguá";"200";"500";"40000";"100"
"225";"Aceguá";"200";"500";"50000";"100"
"226";"Aceguá";"200";"1000";"500";"52.324061974986"
"227";"Aceguá";"200";"1000";"1000";"66.0817621803248"
"228";"Aceguá";"200";"1000";"2000";"85.7942878476759"
"229";"Aceguá";"200";"1000";"3000";"94.4185178271421"
"230";"Aceguá";"200";"1000";"4000";"98.077282060855"
"231";"Aceguá";"200";"1000";"5000";"99.4773193951839"
"232";"Aceguá";"200";"1000";"6000";"99.9439985066268"
"233";"Aceguá";"200";"1000";"7000";"100"
"234";"Aceguá";"200";"1000";"8000";"100"
"235";"Aceguá";"200";"1000";"9000";"100"
"236";"Aceguá";"200";"1000";"10000";"100"
"237";"Aceguá";"200";"1000";"20000";"100"
"238";"Aceguá";"200";"1000";"30000";"100"
"239";"Aceguá";"200";"1000";"40000";"100"
"240";"Aceguá";"200";"1000";"50000";"100"
"241";"Aceguá";"300";"50";"500";"34.459585588949"
"242";"Aceguá";"300";"50";"1000";"41.2731006160164"
"243";"Aceguá";"300";"50";"2000";"47.0412544334516"
"244";"Aceguá";"300";"50";"3000";"50.0466679111443"
"245";"Aceguá";"300";"50";"4000";"51.9880530147471"
"246";"Aceguá";"300";"50";"5000";"52.9587455665484"
"247";"Aceguá";"300";"50";"6000";"53.5934291581109"
"248";"Aceguá";"300";"50";"7000";"54.0227739406384"
"249";"Aceguá";"300";"50";"8000";"54.246779914131"
"250";"Aceguá";"300";"50";"9000";"54.4147843942505"
"251";"Aceguá";"300";"50";"10000";"54.5454545454545"
"252";"Aceguá";"300";"50";"20000";"54.7507933544895"
"253";"Aceguá";"300";"50";"30000";"54.7507933544895"
"254";"Aceguá";"300";"50";"40000";"54.7507933544895"
